name,score1,msp1,score2,msp2,score3,msp3
Aaron Brooks,0.766,Jerryd Bayless,0.745,Skal Labissiere,0.74,Marreese Speights
Aaron Gordon,0.932,Tim Hardaway Jr,0.931,Jerian Grant,0.926,Gary Harris
Aaron Harrison,0.832,Henry Ellenson,0.805,Mason Plumlee,0.777,Isaiah Whitehead
Aaron Jackson,0.58,Omari Johnson,0.564,Raul Neto,0.559,Juancho Hernangomez
Abdel Nader,0.858,Taurean Prince,0.841,AlFarouq Aminu,0.836,Doug McDermott
Adreian Payne,0.605,Arron Afflalo,0.599,Elfrid Payton,0.597,MarShon Brooks
Al Horford,0.967,Jrue Holiday,0.965,Harrison Barnes,0.964,LeBron James
Al Jefferson,0.868,Enes Kanter,0.865,Marcin Gortat,0.863,Rudy Gay
Alan Williams,0.808,DeAndre Jordan,0.782,Nick Collison,0.751,Luc Mbah a Moute
Alec Burks,0.957,George Hill,0.957,Bradley Beal,0.956,Paul George
Alec Peters,0.728,Luke Babbitt,0.72,Jonathan Isaac,0.696,Trevor Ariza
Alex Abrines,0.818,Rajon Rondo,0.796,Mario Chalmers,0.784,Dillon Brooks
Alex Caruso,0.788,Kentavious CaldwellPope,0.778,Patrick Patterson,0.776,Luc Mbah a Moute
Alex Len,0.785,David West,0.783,DeMarcus Cousins,0.782,Enes Kanter
Alex Poythress,0.951,Andre Roberson,0.886,Furkan Korkmaz,0.812,John Holland
AlFarouq Aminu,0.884,Malik Monk,0.848,Skal Labissiere,0.845,Lance Thomas
Alfonzo McKinnie,0.732,Amir Johnson,0.721,Larry Drew II,0.69,Lucas Nogueira
Allen Crabbe,0.954,Andrew Wiggins,0.947,Courtney Lee,0.94,Jonathon Simmons
Amir Johnson,0.858,Trevor Booker,0.833,Brook Lopez,0.832,ETwaun Moore
Andre Drummond,0.895,Ed Davis,0.876,Bismack Biyombo,0.871,Steven Adams
Andre Iguodala,0.932,Nikola Vucevic,0.914,Dewayne Dedmon,0.913,Kentavious CaldwellPope
Andre Ingram,0.6,Tim Frazier,0.563,Tony Snell,0.559,Jalen Jones
Andre Roberson,0.951,Alex Poythress,0.88,Furkan Korkmaz,0.84,John Holland
Andrew Bogut,0.812,Lucas Nogueira,0.748,Vincent Hunter,0.718,Tyson Chandler
Andrew Harrison,0.943,Jrue Holiday,0.923,Kyrie Irving,0.921,Michael Beasley
Andrew White III,0.823,Rashad Vaughn,0.683,Okaro White,0.678,Joel Bolomboy
Andrew White,0.666,Alec Peters,0.637,Larry Drew II,0.633,DeAndre Bembry
Andrew Wiggins,0.973,DeMar DeRozan,0.971,Paul George,0.971,Bradley Beal
Ante Zizic,0.795,Pascal Siakam,0.793,Ian Mahinmi,0.758,Ivica Zubac
Anthony Davis,0.976,TJ Warren,0.973,Jamal Murray,0.967,Jordan Clarkson
Anthony Tolliver,0.859,Langston Galloway,0.855,Glenn Robinson III,0.847,Elfrid Payton
Antonio Blakeney,0.862,Langston Galloway,0.85,Bogdan Bogdanovic,0.839,Kyle OQuinn
Antonius Cleveland,0.693,Austin Rivers,0.642,Jerami Grant,0.639,James Webb III
Aron Baynes,0.95,Bobby Portis,0.949,Khris Middleton,0.942,Cory Joseph
Arron Afflalo,0.795,Zach LaVine,0.779,Patty Mills,0.775,Paul Zipser
Austin Rivers,0.905,Dewayne Dedmon,0.902,Spencer Dinwiddie,0.891,Marcus Smart
Avery Bradley,0.951,Tobias Harris,0.95,Bradley Beal,0.949,Paul George
Bam Adebayo,0.875,Kosta Koufos,0.863,Kevon Looney,0.851,Michael KiddGilchrist
Ben McLemore,0.916,Denzel Valentine,0.896,Marco Belinelli,0.885,Ian Clark
Ben Simmons,0.885,Michael KiddGilchrist,0.883,LaMarcus Aldridge,0.875,Evan Fournier
Bismack Biyombo,0.91,Michael KiddGilchrist,0.898,Trevor Booker,0.882,Cheick Diallo
Blake Griffin,0.949,Paul George,0.944,Bradley Beal,0.939,Andrew Wiggins
Boban Marjanovic,0.836,Nene,0.789,Amir Johnson,0.788,Manu Ginobili
Bobby Brown,0.794,Royce ONeale,0.761,JaKarr Sampson,0.743,Aaron Gordon
Bobby Portis,0.972,DeMar DeRozan,0.971,Khris Middleton,0.969,Jeremy Lamb
Bogdan Bogdanovic,0.971,Klay Thompson,0.956,Lauri Markkanen,0.956,Ian Clark
Bojan Bogdanovic,0.966,Jamal Murray,0.962,Bobby Portis,0.961,Al Horford
Bradley Beal,0.981,Paul George,0.981,CJ McCollum,0.978,Jordan Clarkson
Brandan Wright,0.844,Sam Dekker,0.832,Jordan Mickey,0.818,Amir Johnson
Brandon Ingram,0.949,KarlAnthony Towns,0.948,Dennis Smith Jr,0.945,Jayson Tatum
Brandon Jennings,0.74,Nick Young,0.739,Brice Johnson,0.731,Tyreke Evans
Brandon Paul,0.837,Marvin Williams,0.807,Jordan Bell,0.802,Raymond Felton
Briante Weber,0.794,Nik Stauskas,0.71,Darrun Hilliard,0.695,Larry Nance Jr
Brice Johnson,0.796,Greg Monroe,0.767,Wesley Johnson,0.742,David West
Brook Lopez,0.962,Anthony Davis,0.958,Andrew Wiggins,0.956,Zach Randolph
Bruno Caboclo,0.741,John Holland,0.715,Matthew Dellavedova,0.71,Jalen Jones
Bryn Forbes,0.947,Cory Joseph,0.943,Paul George,0.94,Avery Bradley
Buddy Hield,0.952,Tomas Satoransky,0.95,Bradley Beal,0.945,Tobias Harris
Caleb Swanigan,0.792,Sam Dekker,0.774,Malik Monk,0.742,Ekpe Udoh
Cameron Payne,0.866,Vince Carter,0.845,Dennis Smith Jr,0.828,Patty Mills
Caris LeVert,0.958,Jimmy Butler,0.956,Gary Harris,0.956,CJ McCollum
Carmelo Anthony,0.975,Ish Smith,0.969,Jamal Murray,0.968,CJ McCollum
Cedi Osman,0.844,Tomas Satoransky,0.834,Justin Holiday,0.829,James Johnson
Chandler Parsons,0.869,Marcus Morris,0.869,CJ McCollum,0.867,Ian Clark
Channing Frye,0.888,Bogdan Bogdanovic,0.883,Serge Ibaka,0.88,Kyle Anderson
Cheick Diallo,0.891,Michael KiddGilchrist,0.888,Derrick Favors,0.882,Bismack Biyombo
Chris McCullough,0.786,Tim Frazier,0.773,Jawun Evans,0.759,Tony Snell
Chris Paul,0.975,Lou Williams,0.97,Jordan Clarkson,0.968,Kyrie Irving
CJ McCollum,0.981,Kemba Walker,0.981,Bradley Beal,0.979,Jeremy Lamb
CJ Miles,0.898,Justin Holiday,0.891,Marquese Chriss,0.89,Victor Oladipo
CJ Williams,0.887,Brook Lopez,0.88,Jeff Teague,0.878,Tony Parker
Clint Capela,0.895,Steven Adams,0.845,Jakob Poeltl,0.842,CJ Williams
Cody Zeller,0.809,Myles Turner,0.807,Cameron Payne,0.803,MarShon Brooks
Cole Aldrich,0.703,Nick Collison,0.692,Salah Mejri,0.668,Udonis Haslem
Corey Brewer,0.834,Jae Crowder,0.83,Dante Cunningham,0.767,Trey Lyles
Cory Joseph,0.961,Tobias Harris,0.954,Khris Middleton,0.954,Kevin Durant
Courtney Lee,0.971,Jamal Murray,0.966,DAngelo Russell,0.964,Anthony Davis
Cristiano Felicio,0.834,Enes Kanter,0.812,Trevor Booker,0.811,Zaza Pachulia
Dakari Johnson,0.837,Montrezl Harrell,0.763,Wes Iwundu,0.759,Ian Mahinmi
Damian Jones,0.813,Tyson Chandler,0.745,Omer Asik,0.727,Torrey Craig
Damian Lillard,0.972,Harrison Barnes,0.969,Evan Turner,0.967,Otto Porter Jr
Damien Wilkins,0.762,Ekpe Udoh,0.755,Johnathan Motley,0.728,Jonas Jerebko
Damion Lee,0.894,Tony Parker,0.867,Shelvin Mack,0.864,Jusuf Nurkic
Damyean Dotson,0.865,Mike Scott,0.863,Dewayne Dedmon,0.863,Aron Baynes
DAngelo Russell,0.966,Jaylen Brown,0.966,Courtney Lee,0.965,Eric Bledsoe
Daniel Hamilton,0.735,Jalen Jones,0.714,Monte Morris,0.608,Omer Asik
Daniel Theis,0.875,Ish Smith,0.874,Tim Hardaway Jr,0.866,Kyrie Irving
Danilo Gallinari,0.911,Jayson Tatum,0.91,Darius Miller,0.91,Bradley Beal
Danny Green,0.914,Allen Crabbe,0.903,Trey Burke,0.898,KarlAnthony Towns
Dante Cunningham,0.863,Jeff Green,0.853,Spencer Dinwiddie,0.84,Stanley Johnson
Dante Exum,0.85,Shaquille Harrison,0.848,OG Anunoby,0.844,PJ Tucker
Danuel House,0.862,Timofey Mozgov,0.803,Tyreke Evans,0.797,DeMarre Carroll
Dario Saric,0.955,Jeff Teague,0.949,Andrew Wiggins,0.947,Frank Kaminsky
Darius Miller,0.931,Trey Burke,0.927,Carmelo Anthony,0.926,Tim Hardaway Jr
Darrell Arthur,0.809,Aaron Gordon,0.782,Joe Ingles,0.782,Jerian Grant
Darren Collison,0.928,Brandon Ingram,0.917,Ricky Rubio,0.916,Jayson Tatum
Darrun Hilliard,0.71,Briante Weber,0.663,Jamel Artis,0.659,Ben Simmons
David Nwaba,0.889,Nemanja Bjelica,0.814,DeMarre Carroll,0.811,Joe Harris
David West,0.926,Rudy Gay,0.921,DAngelo Russell,0.905,DeMar DeRozan
Davis Bertans,0.9,Anthony Davis,0.897,Reggie Bullock,0.893,Kris Dunn
Davon Reed,0.686,Eric Moreland,0.683,Nick Young,0.681,DeAndre Liggins
DeAaron Fox,0.966,Stanley Johnson,0.961,Otto Porter Jr,0.959,Tobias Harris
DeAndre Bembry,0.746,ETwaun Moore,0.742,DeMarcus Cousins,0.735,Davis Bertans
DeAndre Jordan,0.852,Ivica Zubac,0.844,Khem Birch,0.837,Andre Drummond
DeAndre Liggins,0.754,Tyler Dorsey,0.749,Dennis Smith Jr,0.743,Jerami Grant
Dejounte Murray,0.915,Damian Lillard,0.912,Caris LeVert,0.906,Kyrie Irving
Delon Wright,0.852,DeMarre Carroll,0.847,Jerryd Bayless,0.839,Frank Kaminsky
DeMar DeRozan,0.98,LaMarcus Aldridge,0.975,Jeremy Lamb,0.974,Jamal Murray
DeMarcus Cousins,0.916,Anthony Davis,0.909,Rodney Hood,0.906,Mario Hezonja
DeMarre Carroll,0.937,Frank Kaminsky,0.929,Donovan Mitchell,0.92,Andrew Wiggins
Demetrius Jackson,0.835,Furkan Korkmaz,0.821,Jack Cooley,0.772,Juan Hernangomez
Dennis Schroder,0.966,Klay Thompson,0.966,Devin Booker,0.966,CJ McCollum
Dennis Smith Jr,0.949,Bradley Beal,0.948,Brandon Ingram,0.946,Paul George
Denzel Valentine,0.964,Harrison Barnes,0.958,CJ McCollum,0.956,DAngelo Russell
Derrick Favors,0.94,Harrison Barnes,0.938,Denzel Valentine,0.934,DeMar DeRozan
Derrick Jones Jr,0.819,Lucas Nogueira,0.817,Tarik Black,0.723,Danuel House
Derrick Rose,0.831,Thabo Sefolosha,0.826,Jayson Tatum,0.823,Jawun Evans
Derrick Walton Jr,0.906,Gian Clavell,0.83,Julyan Stone,0.689,Malcolm Miller
Derrick White,0.758,PJ Tucker,0.747,Myke Henry,0.743,Eric Gordon
Devin Booker,0.974,Klay Thompson,0.972,Otto Porter Jr,0.972,CJ McCollum
Devin Harris,0.919,Spencer Dinwiddie,0.899,George Hill,0.889,Reggie Bullock
Dewayne Dedmon,0.936,Lou Williams,0.935,Chris Paul,0.934,Gary Harris
Deyonta Davis,0.894,Zaza Pachulia,0.887,Taj Gibson,0.881,Josh Jackson
Dillon Brooks,0.965,Jamal Murray,0.954,Caris LeVert,0.952,Tobias Harris
Dion Waiters,0.879,Dario Saric,0.877,Kentavious CaldwellPope,0.874,JJ Redick
Dirk Nowitzki,0.949,Andrew Wiggins,0.945,Trey Burke,0.942,Rodney Hood
DJ Augustin,0.951,Devin Booker,0.947,Trey Burke,0.946,Lou Williams
DJ Wilson,0.684,John Wall,0.673,James Young,0.64,Dante Exum
Domantas Sabonis,0.929,TJ McConnell,0.926,Reggie Jackson,0.926,Julius Randle
Donovan Mitchell,0.969,CJ McCollum,0.969,Bradley Beal,0.968,Paul George
Dorian FinneySmith,0.825,Tyler Dorsey,0.809,Manu Ginobili,0.786,Dennis Smith Jr
Doug McDermott,0.922,Taurean Prince,0.92,Victor Oladipo,0.909,Kevin Love
Dragan Bender,0.841,Jerryd Bayless,0.814,DeMarre Carroll,0.812,John Wall
Draymond Green,0.89,Kentavious CaldwellPope,0.886,James Johnson,0.885,Mike James
Dwayne Bacon,0.897,Elfrid Payton,0.878,Kevin Durant,0.856,Taj Gibson
Dwight Buycks,0.847,Shabazz Napier,0.843,Brandon Ingram,0.841,Aaron Gordon
Dwight Howard,0.899,DeMarcus Cousins,0.883,TJ Warren,0.882,Anthony Davis
Dwight Powell,0.899,Kentavious CaldwellPope,0.898,Justin Holiday,0.895,Tyler Dorsey
Dwyane Wade,0.949,DeMar DeRozan,0.948,Jonathon Simmons,0.944,LeBron James
Ed Davis,0.895,Andre Drummond,0.832,Clint Capela,0.815,Bismack Biyombo
Ekpe Udoh,0.848,Andre Drummond,0.835,Sam Dekker,0.783,Pascal Siakam
Elfrid Payton,0.941,DeAaron Fox,0.941,Brook Lopez,0.939,Taj Gibson
Emeka Okafor,0.74,Alex Len,0.739,Mason Plumlee,0.734,Isaiah Hicks
Emmanuel Mudiay,0.956,George Hill,0.956,Donovan Mitchell,0.954,Bradley Beal
Enes Kanter,0.919,Michael KiddGilchrist,0.904,Greg Monroe,0.901,TJ Warren
Eric Bledsoe,0.969,DeMar DeRozan,0.968,CJ McCollum,0.968,Bradley Beal
Eric Gordon,0.93,Brook Lopez,0.925,Kelly Oubre Jr,0.916,Jeff Green
Eric Moreland,0.855,Salah Mejri,0.811,Tarik Black,0.806,Nerlens Noel
Ersan Ilyasova,0.943,Evan Fournier,0.943,Devin Booker,0.936,Kevin Love
ETwaun Moore,0.95,Donovan Mitchell,0.948,Zach Randolph,0.945,Kris Dunn
Evan Fournier,0.97,Devin Booker,0.963,Otto Porter Jr,0.962,LaMarcus Aldridge
Evan Turner,0.976,LaMarcus Aldridge,0.972,DeMar DeRozan,0.969,Damian Lillard
Frank Kaminsky,0.949,Andrew Wiggins,0.947,Dario Saric,0.946,DeMar DeRozan
Frank Mason,0.94,Kyrie Irving,0.94,George Hill,0.938,Caris LeVert
Frank Ntilikina,0.924,Garrett Temple,0.918,Quinn Cook,0.905,Donovan Mitchell
Fred VanVleet,0.861,Tyler Ennis,0.843,DeAaron Fox,0.84,Otto Porter Jr
Furkan Korkmaz,0.886,Alex Poythress,0.88,Andre Roberson,0.835,Demetrius Jackson
Garrett Temple,0.936,Kevin Love,0.929,Jamal Crawford,0.924,Frank Ntilikina
Gary Harris,0.969,Harrison Barnes,0.964,Serge Ibaka,0.963,CJ McCollum
Gary Payton II,0.729,Corey Brewer,0.717,Luke Kornet,0.686,Zach LaVine
George Hill,0.98,Jordan Clarkson,0.974,Bradley Beal,0.971,Paul George
Georgios Papagiannis,0.694,Zaza Pachulia,0.684,Pascal Siakam,0.683,Enes Kanter
Gerald Green,0.881,Kevin Love,0.879,Serge Ibaka,0.877,CJ McCollum
Gian Clavell,0.906,Derrick Walton Jr,0.823,Julyan Stone,0.719,Malcolm Miller
Giannis Antetokounmpo,0.961,Goran Dragic,0.96,Joel Embiid,0.958,Andrew Wiggins
Glenn Robinson III,0.855,Anthony Tolliver,0.781,Dwight Powell,0.768,Lauri Markkanen
Goran Dragic,0.966,James Harden,0.961,Giannis Antetokounmpo,0.959,Jeremy Lamb
Gorgui Dieng,0.932,Jordan Clarkson,0.922,Klay Thompson,0.913,Bradley Beal
Greg Monroe,0.904,Enes Kanter,0.894,Michael KiddGilchrist,0.868,Bismack Biyombo
Guerschon Yabusele,0.79,Robert Covington,0.77,Joffrey Lauvergne,0.755,Justin Anderson
Harrison Barnes,0.976,Serge Ibaka,0.975,Jordan Clarkson,0.973,Jamal Murray
Hassan Whiteside,0.898,Taj Gibson,0.877,DeMar DeRozan,0.876,Jeremy Lamb
Henry Ellenson,0.856,Jae Crowder,0.852,Avery Bradley,0.844,Kelly Olynyk
Ian Clark,0.969,Ish Smith,0.963,Lou Williams,0.963,Jeff Teague
Ian Mahinmi,0.839,Andre Drummond,0.822,DeAndre Jordan,0.815,Montrezl Harrell
Ike Anigbogu,0.648,Sean Kilpatrick,0.638,Jon Leuer,0.607,Mike Conley
Iman Shumpert,0.773,Tyler Johnson,0.772,Dwight Buycks,0.752,Aaron Gordon
Isaiah Canaan,0.766,Doug McDermott,0.756,Justise Winslow,0.752,Marreese Speights
Isaiah Hicks,0.778,Lonzo Ball,0.771,DeMarcus Cousins,0.767,Jabari Parker
Isaiah Taylor,0.904,Kelly Olynyk,0.9,Taurean Prince,0.886,Blake Griffin
Isaiah Thomas,0.902,Devin Booker,0.9,Shelvin Mack,0.892,Danilo Gallinari
Isaiah Whitehead,0.845,Larry Nance Jr,0.795,Stanley Johnson,0.793,Tyler Zeller
Ish Smith,0.975,Carmelo Anthony,0.97,Khris Middleton,0.969,Ian Clark
Ivan Rabb,0.843,Ish Smith,0.841,Yogi Ferrell,0.839,Jusuf Nurkic
Ivica Zubac,0.852,DeAndre Jordan,0.817,Khem Birch,0.798,Ian Mahinmi
Jabari Bird,0.81,Ron Baker,0.757,Shaquille Harrison,0.741,Trevor Ariza
Jabari Parker,0.905,Ersan Ilyasova,0.895,Raymond Felton,0.879,CJ McCollum
Jack Cooley,0.845,Jon Leuer,0.821,Demetrius Jackson,0.743,DeAndre Jordan
Jae Crowder,0.911,Marco Belinelli,0.9,Avery Bradley,0.891,Tony Parker
Jahlil Okafor,0.832,Omri Casspi,0.803,Tarik Black,0.795,Eric Moreland
JaKarr Sampson,0.796,Aaron Gordon,0.793,Royce ONeale,0.778,James Johnson
Jake Layman,0.817,Solomon Hill,0.755,Guerschon Yabusele,0.733,Boban Marjanovic
Jakob Poeltl,0.845,Clint Capela,0.844,Andre Drummond,0.841,DeMarcus Cousins
Jalen Jones,0.8,John Holland,0.771,Lance Thomas,0.751,Timothe LuwawuCabarrot
Jamal Crawford,0.947,Serge Ibaka,0.947,Jamal Murray,0.945,Jordan Clarkson
Jamal Murray,0.978,TJ Warren,0.977,Tobias Harris,0.976,Khris Middleton
Jameer Nelson,0.907,Jerian Grant,0.879,Aaron Gordon,0.876,Tim Hardaway Jr
Jamel Artis,0.787,LaMarcus Aldridge,0.783,Evan Fournier,0.775,Ben Simmons
James Ennis III,0.888,Jerian Grant,0.881,Reggie Bullock,0.869,Luke Kennard
James Harden,0.967,JR Smith,0.966,Goran Dragic,0.959,Devin Booker
James Johnson,0.935,Kyle Kuzma,0.928,ETwaun Moore,0.927,Bobby Portis
James Webb III,0.875,Jeff Withey,0.757,Ron Baker,0.741,Trevor Ariza
James Young,0.673,DJ Wilson,0.489,Iman Shumpert,0.485,Mirza Teletovic
Jamil Wilson,0.825,Ron Baker,0.808,Fred VanVleet,0.786,Trevor Ariza
JaMychal Green,0.901,Mario Hezonja,0.897,Kristaps Porzingis,0.893,Evan Fournier
Jared Dudley,0.897,Luke Kornet,0.772,Cameron Payne,0.713,Vince Carter
Jarell Martin,0.904,Courtney Lee,0.9,Rajon Rondo,0.899,Gary Harris
Jarrett Allen,0.849,Julius Randle,0.815,Taurean Prince,0.814,Daniel Theis
Jarrett Jack,0.969,DeMar DeRozan,0.965,Jordan Clarkson,0.964,Harrison Barnes
Jason Smith,0.853,Stanley Johnson,0.847,Lance Stephenson,0.845,Shabazz Napier
Jason Terry,0.854,Aaron Gordon,0.849,Tyler Dorsey,0.849,Justin Anderson
JaVale McGee,0.815,LaMarcus Aldridge,0.81,Nikola Mirotic,0.809,Cheick Diallo
Jawun Evans,0.9,Jamal Crawford,0.899,Rondae HollisJefferson,0.896,Lance Stephenson
Jaylen Brown,0.966,DAngelo Russell,0.965,Tobias Harris,0.961,Eric Bledsoe
Jaylen Morris,0.588,Damien Wilkins,0.58,Johnathan Motley,0.577,Sindarius Thornwell
Jayson Tatum,0.968,Bradley Beal,0.959,Klay Thompson,0.957,George Hill
Jeff Green,0.945,Evan Fournier,0.939,DeAaron Fox,0.934,Kris Dunn
Jeff Teague,0.965,Tobias Harris,0.965,Carmelo Anthony,0.964,Andrew Wiggins
Jeff Withey,0.875,James Webb III,0.818,Larry Drew II,0.79,Ron Baker
Jerami Grant,0.904,Yogi Ferrell,0.872,Bogdan Bogdanovic,0.865,Tony Parker
Jeremy Lamb,0.979,CJ McCollum,0.975,DeMar DeRozan,0.974,Jamal Murray
Jeremy Lin,0.576,JaKarr Sampson,0.573,Jonathan Gibson,0.566,Bobby Brown
Jerian Grant,0.954,Tim Hardaway Jr,0.946,Klay Thompson,0.946,Bradley Beal
Jerryd Bayless,0.883,DeMarre Carroll,0.876,Tyreke Evans,0.867,Dion Waiters
Jimmy Butler,0.973,Kevin Durant,0.971,Tobias Harris,0.969,Serge Ibaka
JJ Barea,0.958,Andrew Wiggins,0.949,Markieff Morris,0.946,Rudy Gay
JJ Redick,0.949,Nikola Jokic,0.932,Victor Oladipo,0.928,Bradley Beal
Joakim Noah,0.732,Luc Mbah a Moute,0.641,Alan Williams,0.623,DeAndre Jordan
Jodie Meeks,0.899,Harrison Barnes,0.895,Tyler Johnson,0.894,Kevin Durant
Joe Harris,0.911,Joe Ingles,0.866,James Harden,0.864,Bobby Portis
Joe Ingles,0.924,Dennis Smith Jr,0.911,Marcus Smart,0.911,Joe Harris
Joe Johnson,0.927,Spencer Dinwiddie,0.927,Kyrie Irving,0.925,Jonathon Simmons
Joe Young,0.855,Victor Oladipo,0.854,Justin Holiday,0.849,Elfrid Payton
Joel Bolomboy,0.695,Okaro White,0.678,Andrew White III,0.621,Emeka Okafor
Joel Embiid,0.976,Kris Dunn,0.971,Kemba Walker,0.969,CJ McCollum
Joffrey Lauvergne,0.828,Michael KiddGilchrist,0.824,Tyrone Wallace,0.821,Bismack Biyombo
John Collins,0.888,Jeff Teague,0.888,Jaylen Brown,0.878,DeAaron Fox
John Henson,0.871,Hassan Whiteside,0.852,Dwyane Wade,0.843,Pau Gasol
John Holland,0.84,Andre Roberson,0.818,Furkan Korkmaz,0.812,Alex Poythress
John Wall,0.94,Buddy Hield,0.934,Tomas Satoransky,0.934,Tobias Harris
Johnathan Motley,0.829,Greg Monroe,0.804,Dwight Howard,0.782,Marcin Gortat
Johnny OBryant III,0.883,Marc Gasol,0.876,Kyrie Irving,0.869,Tyus Jones
Jon Leuer,0.845,Jack Cooley,0.786,Ian Mahinmi,0.736,Clint Capela
Jonas Jerebko,0.897,Reggie Bullock,0.889,DeMarcus Cousins,0.888,George Hill
Jonas Valanciunas,0.926,Jaylen Brown,0.92,Will Barton,0.919,Kevin Durant
Jonathan Gibson,0.681,Arron Afflalo,0.655,Brandon Jennings,0.651,Thomas Bryant
Jonathan Isaac,0.808,Lauri Markkanen,0.808,Kyle Kuzma,0.802,Marcus Morris
Jonathon Simmons,0.97,Thaddeus Young,0.966,Kyrie Irving,0.962,Klay Thompson
Jordan Bell,0.862,Cheick Diallo,0.848,Marvin Williams,0.807,Brandon Paul
Jordan Clarkson,0.98,George Hill,0.978,Bradley Beal,0.977,Serge Ibaka
