name,team_name
Andrew Bogut,Los Angeles Lakers
Marvin Williams,Charlotte Hornets
Chris Paul,Houston Rockets
Raymond Felton,Oklahoma City Thunder
Channing Frye,Cleveland Cavaliers
Donovan Mitchell,Utah Jazz
Gerald Green,Houston Rockets
Jarrett Jack,New York Knicks
Jayson Tatum,Boston Celtics
Ian Mahinmi,Washington Wizards
CJ Miles,Toronto Raptors
Ersan Ilyasova,Atlanta Hawks
Lou Williams,LA Clippers
Amir Johnson,Philadelphia 76ers
Marcin Gortat,Washington Wizards
Jose Calderon,Cleveland Cavaliers
Jahlil Okafor,Brooklyn Nets
Emmanuel Mudiay,Denver Nuggets
Tyus Jones,Minnesota Timberwolves
Justin Anderson,Philadelphia 76ers
Anthony Brown,Minnesota Timberwolves
KarlAnthony Towns,Minnesota Timberwolves
Montrezl Harrell,LA Clippers
Andrew Harrison,Memphis Grizzlies
Aaron Harrison,Dallas Mavericks
Delon Wright,Toronto Raptors
RJ Hunter,Houston Rockets
Sam Dekker,LA Clippers
D'Angelo Russell,Brooklyn Nets
Karl-Anthony Towns,Minnesota Timberwolves
Richaun Holmes,Philadelphia 76ers
Justise Winslow,Miami Heat
Willie Cauley-Stein,Sacramento Kings
Kelly Oubre,Washington Wizards
Frank Kaminsky,Charlotte Hornets
Devin Booker,Phoenix Suns
Cameron Payne,Chicago Bulls
Myles Turner,Indiana Pacers
Trey Lyles,Denver Nuggets
Stanley Johnson,Detroit Pistons
Jerian Grant,Chicago Bulls
Bobby Portis,Chicago Bulls
Kevon Looney,Golden State Warriors
Rashad Vaughn,Milwaukee Bucks
Jordan Mickey,Miami Heat
Rondae Hollis-Jefferson,Brooklyn Nets
Terry Rozier,Boston Celtics
Norman Powell,Toronto Raptors
Jarell Martin,Memphis Grizzlies
Chris McCullough,Washington Wizards
Pat Connaughton,Portland Trail Blazers
Willy Hernangomez,New York Knicks
Josh Richardson,Miami Heat
Darrun Hilliard,San Antonio Spurs
Joe Young,Indiana Pacers
Treveon Graham,Charlotte Hornets
Jr. Nance,Los Angeles Lakers
Mario Hezonja,Orlando Magic
Alan Williams,Phoenix Suns
Cristiano Felicio,Chicago Bulls
Boban Marjanovic,LA Clippers
Salah Mejri,Dallas Mavericks
Malcolm Delaney,Atlanta Hawks
Briante Weber,Houston Rockets
Ben Simmons,Philadelphia 76ers
Dragan Bender,Phoenix Suns
Domantas Sabonis,Indiana Pacers
Wade Baldwin,Portland Trail Blazers
Malik Beasley,Denver Nuggets
Marquese Chriss,Phoenix Suns
Deyonta Davis,Memphis Grizzlies
Kris Dunn,Chicago Bulls
Henry Ellenson,Detroit Pistons
Buddy Hield,Sacramento Kings
Brandon Ingram,Los Angeles Lakers
Demetrius Jackson,Philadelphia 76ers
Brice Johnson,Memphis Grizzlies
Damian Jones,Golden State Warriors
Skal Labissiere,Sacramento Kings
Caris LeVert,Brooklyn Nets
Thon Maker,Milwaukee Bucks
Dejounte Murray,San Antonio Spurs
Jamal Murray,Denver Nuggets
Jakob Poeltl,Toronto Raptors
Taurean Prince,Atlanta Hawks
Denzel Valentine,Chicago Bulls
Ron Baker,New York Knicks
Jaylen Brown,Boston Celtics
DeAndre Bembry,Atlanta Hawks
Malcolm Brogdon,Milwaukee Bucks
Kay Felder,Chicago Bulls
Jake Layman,Portland Trail Blazers
Patrick McCaw,Golden State Warriors
Georges Niang,Utah Jazz
Malachi Richardson,Sacramento Kings
Pascal Siakam,Toronto Raptors
Isaiah Whitehead,Brooklyn Nets
Troy Williams,New York Knicks
Timothe Luwawu,Philadelphia 76ers
Juan Hernangomez,Denver Nuggets
Ivica Zubac,Los Angeles Lakers
Dorian Finney-Smith,Dallas Mavericks
Fred VanVleet,Toronto Raptors
Georgios Papagiannis,Sacramento Kings
Paul Zipser,Chicago Bulls
Marshall Plumlee,Milwaukee Bucks
Bryn Forbes,San Antonio Spurs
Danuel House,Phoenix Suns
Jr. Jones,Miami Heat
Vince Carter,Sacramento Kings
Dirk Nowitzki,Dallas Mavericks
Jason Terry,Milwaukee Bucks
Manu Ginobili,San Antonio Spurs
LaMarcus Aldridge,San Antonio Spurs
Rudy Gay,San Antonio Spurs
JJ Redick,Philadelphia 76ers
Thabo Sefolosha,Utah Jazz
Rajon Rondo,New Orleans Pelicans
Kyle Lowry,Toronto Raptors
PJ Tucker,Houston Rockets
Paul Millsap,Denver Nuggets
Jose Barea,Dallas Mavericks
Kevin Durant,Golden State Warriors
Al Horford,Boston Celtics
Mike Conley,Memphis Grizzlies
Jeff Green,Cleveland Cavaliers
Corey Brewer,Oklahoma City Thunder
Brandan Wright,Memphis Grizzlies
Joakim Noah,New York Knicks
Thaddeus Young,Indiana Pacers
Nick Young,Golden State Warriors
Marco Belinelli,Philadelphia 76ers
Jason Smith,Washington Wizards
Jared Dudley,Phoenix Suns
Wilson Chandler,Denver Nuggets
Aaron Brooks,Minnesota Timberwolves
Arron Afflalo,Orlando Magic
Marc Gasol,Memphis Grizzlies
Ramon Sessions,Washington Wizards
Anthony Tolliver,Detroit Pistons
Michael Beasley,New York Knicks
Derrick Rose,Cleveland Cavaliers
Russell Westbrook,Oklahoma City Thunder
Kevin Love,Cleveland Cavaliers
Danilo Gallinari,LA Clippers
Eric Gordon,Houston Rockets
D.J. Augustin,Orlando Magic
Brook Lopez,Los Angeles Lakers
Jerryd Bayless,Philadelphia 76ers
Robin Lopez,Chicago Bulls
Marreese Speights,Orlando Magic
JaVale McGee,Golden State Warriors
Ryan Anderson,Houston Rockets
Courtney Lee,New York Knicks
Kosta Koufos,Sacramento Kings
Serge Ibaka,Toronto Raptors
Nicolas Batum,Charlotte Hornets
George Hill,Sacramento Kings
Darrell Arthur,Denver Nuggets
Mario Chalmers,Memphis Grizzlies
DeAndre Jordan,LA Clippers
Omer Asik,New Orleans Pelicans
a Mbah,Houston Rockets
Bobby Brown,Houston Rockets
Blake Griffin,Detroit Pistons
James Harden,Houston Rockets
Tyreke Evans,Memphis Grizzlies
Ricky Rubio,Utah Jazz
Stephen Curry,Golden State Warriors
DeMar DeRozan,Toronto Raptors
Brandon Jennings,Milwaukee Bucks
James Johnson,Miami Heat
Jrue Holiday,New Orleans Pelicans
Jeff Teague,Minnesota Timberwolves
Darren Collison,Indiana Pacers
Omri Casspi,Golden State Warriors
Taj Gibson,Minnesota Timberwolves
DeMarre Carroll,Brooklyn Nets
Wayne Ellington,Miami Heat
Dante Cunningham,Brooklyn Nets
Jonas Jerebko,Utah Jazz
Jodie Meeks,Washington Wizards
Patrick Beverley,LA Clippers
Danny Green,San Antonio Spurs
Patty Mills,San Antonio Spurs
Garrett Temple,Sacramento Kings
Wesley Matthews,Dallas Mavericks
John Wall,Washington Wizards
Evan Turner,Portland Trail Blazers
Derrick Favors,Utah Jazz
Wesley Johnson,LA Clippers
DeMarcus Cousins,New Orleans Pelicans
Ekpe Udoh,Utah Jazz
Greg Monroe,Phoenix Suns
Al-Farouq Aminu,Portland Trail Blazers
Paul George,Oklahoma City Thunder
Cole Aldrich,Minnesota Timberwolves
Ed Davis,Portland Trail Blazers
Patrick Patterson,Oklahoma City Thunder
Luke Babbitt,Atlanta Hawks
Eric Bledsoe,Milwaukee Bucks
Avery Bradley,Detroit Pistons
Trevor Booker,Philadelphia 76ers
Quincy Pondexter,Chicago Bulls
Jordan Crawford,New Orleans Pelicans
Hassan Whiteside,Miami Heat
Nemanja Bjelica,Minnesota Timberwolves
Lance Stephenson,Indiana Pacers
Timofey Mozgov,Brooklyn Nets
Jeremy Lin,Brooklyn Nets
Ish Smith,Detroit Pistons
Lance Thomas,New York Knicks
Kyrie Irving,Boston Celtics
Enes Kanter,New York Knicks
Tristan Thompson,Cleveland Cavaliers
Jonas Valanciunas,Toronto Raptors
Bismack Biyombo,Orlando Magic
Kemba Walker,Charlotte Hornets
Klay Thompson,Golden State Warriors
Alec Burks,Utah Jazz
Markieff Morris,Washington Wizards
Marcus Morris,Boston Celtics
Kawhi Leonard,San Antonio Spurs
Nikola Vucevic,Orlando Magic
Iman Shumpert,Cleveland Cavaliers
Tobias Harris,Detroit Pistons
Kenneth Faried,Denver Nuggets
Nikola Mirotic,New Orleans Pelicans
Reggie Jackson,Detroit Pistons
MarShon Brooks,Memphis Grizzlies
Cory Joseph,Indiana Pacers
Jimmy Butler,Minnesota Timberwolves
Bojan Bogdanovic,Indiana Pacers
Kyle Singler,Oklahoma City Thunder
Shelvin Mack,Orlando Magic
Chandler Parsons,Memphis Grizzlies
Jon Leuer,Detroit Pistons
Davis Bertans,San Antonio Spurs
DeAndre Liggins,New Orleans Pelicans
E'Twaun Moore,New Orleans Pelicans
Isaiah Thomas,Los Angeles Lakers
Dwight Buycks,Detroit Pistons
Julyan Stone,Charlotte Hornets
Anthony Davis,New Orleans Pelicans
Michael Kidd-Gilchrist,Charlotte Hornets
Bradley Beal,Washington Wizards
Dion Waiters,Miami Heat
Damian Lillard,Portland Trail Blazers
Terrence Ross,Orlando Magic
Andre Drummond,Detroit Pistons
Harrison Barnes,Dallas Mavericks
Austin Rivers,LA Clippers
Meyers Leonard,Portland Trail Blazers
Jeremy Lamb,Charlotte Hornets
John Henson,Milwaukee Bucks
Maurice Harkless,Portland Trail Blazers
Tyler Zeller,Brooklyn Nets
Evan Fournier,Orlando Magic
Miles Plumlee,Atlanta Hawks
Marquis Teague,Memphis Grizzlies
Tomas Satoransky,Washington Wizards
Jae Crowder,Utah Jazz
Draymond Green,Golden State Warriors
Quincy Acy,Brooklyn Nets
Khris Middleton,Milwaukee Bucks
Will Barton,Denver Nuggets
Darius Miller,New Orleans Pelicans
Kyle O'Quinn,New York Knicks
Mirza Teletovic,Milwaukee Bucks
Kent Bazemore,Atlanta Hawks
Willie Reed,LA Clippers
Justin Holiday,Chicago Bulls
JaMychal Green,Memphis Grizzlies
Aron Baynes,Boston Celtics
Nerlens Noel,Dallas Mavericks
Alex Len,Phoenix Suns
Allen Crabbe,Brooklyn Nets
Andre Roberson,Oklahoma City Thunder
Ben McLemore,Memphis Grizzlies
CJ McCollum,Portland Trail Blazers
Cody Zeller,Charlotte Hornets
Dennis Schroder,Atlanta Hawks
Dewayne Dedmon,Atlanta Hawks
Gorgui Dieng,Minnesota Timberwolves
Isaiah Canaan,Phoenix Suns
Kelly Olynyk,Miami Heat
Kentavious Caldwell-Pope,Los Angeles Lakers
Lorenzo Brown,Toronto Raptors
Mason Plumlee,Denver Nuggets
Michael Carter-Williams,Charlotte Hornets
Mike Muscala,Atlanta Hawks
Nate Wolters,Utah Jazz
Otto Porter,Washington Wizards
Reggie Bullock,Detroit Pistons
Robert Covington,Philadelphia 76ers
Rudy Gobert,Utah Jazz
Shabazz Muhammad,Milwaukee Bucks
Shane Larkin,Boston Celtics
Steven Adams,Oklahoma City Thunder
Jr. Hardaway,New York Knicks
Tony Snell,Milwaukee Bucks
Trey Burke,New York Knicks
Vander Blue,Los Angeles Lakers
Victor Oladipo,Indiana Pacers
Giannis Antetokounmpo,Milwaukee Bucks
Lucas Nogueira,Toronto Raptors
James Ennis,Detroit Pistons
Alex Abrines,Oklahoma City Thunder
Matthew Dellavedova,Milwaukee Bucks
Solomon Hill,New Orleans Pelicans
Raul Neto,Utah Jazz
Joffrey Lauvergne,San Antonio Spurs
Ian Clark,New Orleans Pelicans
Larry Drew,New Orleans Pelicans
Troy Daniels,Phoenix Suns
Rodney McGruder,Miami Heat
Jonathon Simmons,Orlando Magic
Jamal Crawford,Minnesota Timberwolves
Scotty Hopson,Dallas Mavericks
Shabazz Napier,Portland Trail Blazers
Zach LaVine,Chicago Bulls
Tyler Ennis,Los Angeles Lakers
Markel Brown,Houston Rockets
Elfrid Payton,Orlando Magic
Jordan Clarkson,Los Angeles Lakers
Gary Harris,Denver Nuggets
Spencer Dinwiddie,Brooklyn Nets
Nik Stauskas,Brooklyn Nets
Rodney Hood,Cleveland Cavaliers
Glenn Robinson,Indiana Pacers
James Young,Philadelphia 76ers
Jerami Grant,Oklahoma City Thunder
Joe Harris,Brooklyn Nets
Doug McDermott,New York Knicks
Sean Kilpatrick,Brooklyn Nets
Aaron Gordon,Orlando Magic
TJ Warren,Phoenix Suns
Marcus Smart,Boston Celtics
Kyle Anderson,San Antonio Spurs
Dwight Powell,Dallas Mavericks
Noah Vonleh,Portland Trail Blazers
Julius Randle,Los Angeles Lakers
Johnny O'Bryant,Charlotte Hornets
Andrew Wiggins,Minnesota Timberwolves
Jabari Parker,Milwaukee Bucks
Joel Embiid,Philadelphia 76ers
Dante Exum,Utah Jazz
Lonzo Ball,Los Angeles Lakers
Kyle Kuzma,Los Angeles Lakers
JaKarr Sampson,Sacramento Kings
Eric Moreland,Detroit Pistons
Josh Huestis,Oklahoma City Thunder
Dario Saric,Philadelphia 76ers
Clint Capela,Houston Rockets
Jusuf Nurkic,Portland Trail Blazers
Bruno Caboclo,Sacramento Kings
Nikola Jokic,Denver Nuggets
Kristaps Porzingis,New York Knicks
Tyler Johnson,Miami Heat
Jack Cooley,Sacramento Kings
Tim Frazier,Washington Wizards
Tarik Black,Houston Rockets
Travis Wear,Los Angeles Lakers
Langston Galloway,Detroit Pistons
Joe Ingles,Utah Jazz
John Holland,Cleveland Cavaliers
Xavier Munford,Milwaukee Bucks
TJ McConnell,Philadelphia 76ers
Tyson Chandler,Phoenix Suns
Pau Gasol,San Antonio Spurs
Richard Jefferson,Denver Nuggets
Zach Randolph,Sacramento Kings
Tony Parker,San Antonio Spurs
Nene,Houston Rockets
LeBron James,Cleveland Cavaliers
Carmelo Anthony,Oklahoma City Thunder
Dwyane Wade,Cleveland Cavaliers
Nick Collison,Oklahoma City Thunder
David West,Golden State Warriors
Kendrick Perkins,Cleveland Cavaliers
Zaza Pachulia,Golden State Warriors
Kyle Korver,Cleveland Cavaliers
Udonis Haslem,Miami Heat
Dwight Howard,Charlotte Hornets
Emeka Okafor,New Orleans Pelicans
Shaun Livingston,Golden State Warriors
Devin Harris,Dallas Mavericks
Andre Iguodala,Golden State Warriors
Al Jefferson,Indiana Pacers
J.R. Smith,Cleveland Cavaliers
Jameer Nelson,New Orleans Pelicans
Tony Allen,New Orleans Pelicans
Trevor Ariza,Houston Rockets
Damien Wilkins,Indiana Pacers
